Alpha: 0.02239726974772407, Mean Test Score: 0.8668009205983889, Std Test Score: 0.005753739930955126
Alpha: 0.022536625550772463, Mean Test Score: 0.8669447640966628, Std Test Score: 0.005897583429229026
Alpha: 0.022676848425569433, Mean Test Score: 0.8670886075949367, Std Test Score: 0.006041426927502869
Alpha: 0.022817943767035012, Mean Test Score: 0.8670886075949367, Std Test Score: 0.006041426927502869
Alpha: 0.022959917003656467, Mean Test Score: 0.8672324510932106, Std Test Score: 0.006185270425776768
Alpha: 0.023102773597697104, Mean Test Score: 0.8672324510932106, Std Test Score: 0.006185270425776768
Alpha: 0.02324651904540639, Mean Test Score: 0.8672324510932106, Std Test Score: 0.006185270425776768
Alpha: 0.023391158877231494, Mean Test Score: 0.8672324510932106, Std Test Score: 0.00647295742232451
Alpha: 0.023536698658030028, Mean Test Score: 0.8672324510932106, Std Test Score: 0.00647295742232451
Alpha: 0.023683143987284102, Mean Test Score: 0.8672324510932106, Std Test Score: 0.00647295742232451
Alpha: 0.023830500499315843, Mean Test Score: 0.8672324510932106, Std Test Score: 0.00647295742232451
Alpha: 0.023978773863504128, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006329113924050667
Alpha: 0.024127969784502663, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006329113924050667
Alpha: 0.02427809400245957, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006329113924050667
Alpha: 0.02442915229323811, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006329113924050667
Alpha: 0.024581150468639016, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006329113924050667
Alpha: 0.024734094376623987, Mean Test Score: 0.8672324510932106, Std Test Score: 0.006185270425776768
Alpha: 0.024887989901540786, Mean Test Score: 0.8670886075949367, Std Test Score: 0.006329113924050611
Alpha: 0.025042842964349575, Mean Test Score: 0.8670886075949367, Std Test Score: 0.006329113924050611
Alpha: 0.0251986595228507, Mean Test Score: 0.8670886075949367, Std Test Score: 0.006329113924050611
Alpha: 0.025355445571913965, Mean Test Score: 0.8672324510932106, Std Test Score: 0.00647295742232451
Alpha: 0.02551320714370926, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006329113924050667
Alpha: 0.025671950307938587, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006329113924050667
Alpha: 0.02583168117206968, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006329113924050667
Alpha: 0.02599240588157093, Mean Test Score: 0.8675201380897584, Std Test Score: 0.00647295742232451
Alpha: 0.02615413062014779, Mean Test Score: 0.8675201380897584, Std Test Score: 0.00647295742232451
Alpha: 0.02631686160998076, Mean Test Score: 0.8675201380897584, Std Test Score: 0.00647295742232451
Alpha: 0.026480605111964758, Mean Test Score: 0.8675201380897584, Std Test Score: 0.00647295742232451
Alpha: 0.02664536742594993, Mean Test Score: 0.8676639815880323, Std Test Score: 0.006329113924050611
Alpha: 0.026811154890984148, Mean Test Score: 0.8676639815880323, Std Test Score: 0.006329113924050611
Alpha: 0.026977973885556818, Mean Test Score: 0.8676639815880323, Std Test Score: 0.006329113924050611
Alpha: 0.02714583082784427, Mean Test Score: 0.8676639815880323, Std Test Score: 0.006329113924050611
Alpha: 0.027314732175956775, Mean Test Score: 0.8676639815880323, Std Test Score: 0.006329113924050611
Alpha: 0.027484684428186953, Mean Test Score: 0.8676639815880323, Std Test Score: 0.006329113924050611
Alpha: 0.027655694123259755, Mean Test Score: 0.8678078250863062, Std Test Score: 0.00647295742232451
Alpha: 0.027827767840584126, Mean Test Score: 0.8678078250863062, Std Test Score: 0.00647295742232451
Alpha: 0.028000912200506083, Mean Test Score: 0.8678078250863062, Std Test Score: 0.00647295742232451
Alpha: 0.028175133864563398, Mean Test Score: 0.8678078250863062, Std Test Score: 0.00647295742232451
Alpha: 0.028350439535741977, Mean Test Score: 0.8678078250863062, Std Test Score: 0.00647295742232451
Alpha: 0.028526835958733652, Mean Test Score: 0.8678078250863062, Std Test Score: 0.00647295742232451
Alpha: 0.028704329920195778, Mean Test Score: 0.8676639815880323, Std Test Score: 0.006329113924050611
Alpha: 0.02888292824901223, Mean Test Score: 0.8676639815880323, Std Test Score: 0.006329113924050611
Alpha: 0.02906263781655625, Mean Test Score: 0.8676639815880323, Std Test Score: 0.006329113924050611
Alpha: 0.02924346553695474, Mean Test Score: 0.8676639815880323, Std Test Score: 0.006329113924050611
Alpha: 0.029425418367354274, Mean Test Score: 0.8675201380897584, Std Test Score: 0.006185270425776768
Alpha: 0.029608503308188826, Mean Test Score: 0.8675201380897584, Std Test Score: 0.006185270425776768
Alpha: 0.029792727403449064, Mean Test Score: 0.8675201380897584, Std Test Score: 0.006185270425776768
Alpha: 0.029978097740953318, Mean Test Score: 0.8675201380897584, Std Test Score: 0.006185270425776768
Alpha: 0.03016462145262037, Mean Test Score: 0.8675201380897584, Std Test Score: 0.006185270425776768
Alpha: 0.0303523057147438, Mean Test Score: 0.8675201380897584, Std Test Score: 0.006185270425776768
Alpha: 0.03054115774826803, Mean Test Score: 0.8675201380897584, Std Test Score: 0.006185270425776768
Alpha: 0.030731184819066244, Mean Test Score: 0.8675201380897584, Std Test Score: 0.006185270425776768
Alpha: 0.03092239423821989, Mean Test Score: 0.8675201380897584, Std Test Score: 0.006185270425776768
Alpha: 0.03111479336229991, Mean Test Score: 0.8675201380897584, Std Test Score: 0.006185270425776768
Alpha: 0.03130838959364988, Mean Test Score: 0.8675201380897584, Std Test Score: 0.006185270425776768
Alpha: 0.031503190380670745, Mean Test Score: 0.8675201380897584, Std Test Score: 0.006185270425776768
Alpha: 0.03169920321810737, Mean Test Score: 0.8675201380897584, Std Test Score: 0.006185270425776768
Alpha: 0.031896435647336935, Mean Test Score: 0.8675201380897584, Std Test Score: 0.006185270425776768
Alpha: 0.032094895256659095, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006041426927502869
Alpha: 0.032294589681587854, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006041426927502869
Alpha: 0.032495526605145375, Mean Test Score: 0.8672324510932106, Std Test Score: 0.006185270425776768
Alpha: 0.03269771375815767, Mean Test Score: 0.8670886075949367, Std Test Score: 0.006329113924050611
Alpha: 0.03290115891955186, Mean Test Score: 0.8670886075949367, Std Test Score: 0.006329113924050611
Alpha: 0.033105869916655525, Mean Test Score: 0.8669447640966628, Std Test Score: 0.00647295742232451
Alpha: 0.03331185462549801, Mean Test Score: 0.8669447640966628, Std Test Score: 0.00647295742232451
Alpha: 0.033519120971113175, Mean Test Score: 0.8669447640966628, Std Test Score: 0.00647295742232451
Alpha: 0.03372767692784448, Mean Test Score: 0.8669447640966628, Std Test Score: 0.00647295742232451
Alpha: 0.03393753051965176, Mean Test Score: 0.8669447640966628, Std Test Score: 0.00647295742232451
Alpha: 0.03414868982041994, Mean Test Score: 0.8669447640966628, Std Test Score: 0.00647295742232451
Alpha: 0.0343611629542696, Mean Test Score: 0.8669447640966628, Std Test Score: 0.00647295742232451
Alpha: 0.034574958095869635, Mean Test Score: 0.8669447640966628, Std Test Score: 0.00647295742232451
Alpha: 0.03479008347075174, Mean Test Score: 0.8670886075949367, Std Test Score: 0.006329113924050611
Alpha: 0.035006547355626805, Mean Test Score: 0.8672324510932106, Std Test Score: 0.006185270425776768
Alpha: 0.03522435807870347, Mean Test Score: 0.8672324510932106, Std Test Score: 0.006185270425776768
Alpha: 0.035443524020008485, Mean Test Score: 0.8670886075949367, Std Test Score: 0.006329113924050611
Alpha: 0.03566405361170906, Mean Test Score: 0.8670886075949367, Std Test Score: 0.006329113924050611
Alpha: 0.03588595533843741, Mean Test Score: 0.8670886075949367, Std Test Score: 0.006329113924050611
Alpha: 0.03610923773761712, Mean Test Score: 0.8670886075949367, Std Test Score: 0.006329113924050611
Alpha: 0.03633390939979158, Mean Test Score: 0.8670886075949367, Std Test Score: 0.006329113924050611
Alpha: 0.036559978968954576, Mean Test Score: 0.8670886075949367, Std Test Score: 0.006329113924050611
Alpha: 0.036787455142882834, Mean Test Score: 0.8670886075949367, Std Test Score: 0.006329113924050611
Alpha: 0.037016346673470577, Mean Test Score: 0.8670886075949367, Std Test Score: 0.006329113924050611
Alpha: 0.03724666236706637, Mean Test Score: 0.8669447640966628, Std Test Score: 0.006185270425776711
Alpha: 0.037478411084811876, Mean Test Score: 0.8669447640966628, Std Test Score: 0.006185270425776711
Alpha: 0.03771160174298274, Mean Test Score: 0.8669447640966628, Std Test Score: 0.006185270425776711
Alpha: 0.03794624331333164, Mean Test Score: 0.8669447640966628, Std Test Score: 0.006185270425776711
Alpha: 0.03818234482343364, Mean Test Score: 0.8669447640966628, Std Test Score: 0.006185270425776711
Alpha: 0.03841991535703322, Mean Test Score: 0.8669447640966628, Std Test Score: 0.006185270425776711
Alpha: 0.038658964054393966, Mean Test Score: 0.8672324510932106, Std Test Score: 0.00647295742232451
Alpha: 0.03889950011265019, Mean Test Score: 0.8672324510932106, Std Test Score: 0.00647295742232451
Alpha: 0.039141532786160796, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006329113924050667
Alpha: 0.03938507138686522, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006329113924050667
Alpha: 0.039630125284641875, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006329113924050667
Alpha: 0.039876703907668516, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006329113924050667
Alpha: 0.04012481674278498, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006329113924050667
Alpha: 0.04037447333585827, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006329113924050667
Alpha: 0.04062568329214978, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006329113924050667
Alpha: 0.04087845627668475, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006329113924050667
Alpha: 0.0411328020146243, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006329113924050667
Alpha: 0.04138873029163947, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006329113924050667
Alpha: 0.04164625095428768, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006329113924050667
Alpha: 0.04190537391039171, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006329113924050667
Alpha: 0.04216610912942079, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006329113924050667
Alpha: 0.04242846664287413, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006329113924050667
Alpha: 0.042692456544666975, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006329113924050667
Alpha: 0.04295808899151892, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006329113924050667
Alpha: 0.04322537420334462, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006329113924050667
Alpha: 0.04349432246364702, Mean Test Score: 0.8672324510932106, Std Test Score: 0.006185270425776768
Alpha: 0.04376494411991312, Mean Test Score: 0.8670886075949367, Std Test Score: 0.006041426927502869
Alpha: 0.044037249584011874, Mean Test Score: 0.8670886075949367, Std Test Score: 0.006041426927502869
Alpha: 0.044311249332594865, Mean Test Score: 0.8672324510932106, Std Test Score: 0.006185270425776768
Alpha: 0.044586953907499546, Mean Test Score: 0.8672324510932106, Std Test Score: 0.006185270425776768
Alpha: 0.04486437391615453, Mean Test Score: 0.8672324510932106, Std Test Score: 0.006185270425776768
Alpha: 0.045143520031987884, Mean Test Score: 0.8672324510932106, Std Test Score: 0.006185270425776768
Alpha: 0.04542440299483777, Mean Test Score: 0.8672324510932106, Std Test Score: 0.006185270425776768
Alpha: 0.045707033611365626, Mean Test Score: 0.8672324510932106, Std Test Score: 0.006185270425776768
Alpha: 0.045991422755471856, Mean Test Score: 0.8672324510932106, Std Test Score: 0.006185270425776768
Alpha: 0.04627758136871435, Mean Test Score: 0.8672324510932106, Std Test Score: 0.006185270425776768
Alpha: 0.046565520460729364, Mean Test Score: 0.8672324510932106, Std Test Score: 0.006185270425776768
Alpha: 0.04685525110965503, Mean Test Score: 0.8672324510932106, Std Test Score: 0.006185270425776768
Alpha: 0.04714678446255772, Mean Test Score: 0.8672324510932106, Std Test Score: 0.006185270425776768
Alpha: 0.047440131735860855, Mean Test Score: 0.8672324510932106, Std Test Score: 0.006185270425776768
Alpha: 0.04773530421577636, Mean Test Score: 0.8672324510932106, Std Test Score: 0.006185270425776768
Alpha: 0.04803231325873906, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006041426927502869
Alpha: 0.048331170291843466, Mean Test Score: 0.8672324510932106, Std Test Score: 0.00589758342922897
Alpha: 0.04863188681328344, Mean Test Score: 0.8672324510932106, Std Test Score: 0.00589758342922897
Alpha: 0.04893447439279466, Mean Test Score: 0.8672324510932106, Std Test Score: 0.00589758342922897
